iter	Passed	Remaining
699	2358	1010
700	2360	1007
701	2364	1003
702	2367	1000
703	2370	996
704	2372	992
705	2375	989
706	2378	985
707	2381	982
708	2384	978
709	2387	975
710	2390	971
711	2393	968
712	2396	964
713	2399	961
714	2402	957
715	2404	953
716	2407	950
717	2410	946
718	2413	943
719	2416	939
720	2419	936
721	2422	932
722	2425	929
723	2428	925
724	2431	922
725	2434	918
726	2437	915
727	2440	911
728	2443	908
729	2446	904
730	2449	901
731	2452	897
732	2455	894
733	2459	891
734	2462	887
735	2465	884
736	2467	880
737	2471	877
738	2474	873
739	2477	870
740	2480	866
741	2483	863
742	2486	859
743	2488	856
744	2492	853
745	2495	849
746	2498	846
747	2501	842
748	2503	839
749	2507	835
750	2509	832
751	2512	828
752	2515	825
753	2518	821
754	2524	819
755	2528	815
756	2531	812
757	2535	809
758	2539	806
759	2543	803
760	2546	799
761	2549	796
762	2552	792
763	2556	789
764	2559	786
765	2562	782
766	2564	779
767	2567	775
768	2571	772
769	2574	768
770	2577	765
771	2579	761
772	2582	758
773	2586	755
774	2588	751
775	2591	748
776	2594	744
777	2597	741
778	2600	737
779	2603	734
780	2606	730
781	2609	727
782	2612	724
783	2615	720
784	2618	717
785	2621	713
786	2624	710
787	2627	706
788	2630	703
789	2633	700
790	2636	696
791	2639	693
792	2642	689
793	2645	686
794	2648	682
795	2651	679
796	2654	676
797	2657	672
798	2660	669
799	2662	665
800	2666	662
801	2669	658
802	2671	655
803	2674	652
804	2677	648
805	2681	645
806	2684	641
807	2686	638
808	2689	635
809	2692	631
810	2695	628
811	2698	624
812	2701	621
813	2704	617
814	2707	614
815	2710	611
816	2713	607
817	2716	604
818	2719	600
819	2722	597
820	2724	594
821	2728	590
822	2731	587
823	2735	584
824	2738	580
825	2741	577
826	2745	574
827	2748	570
828	2751	567
829	2754	564
830	2756	560
831	2760	557
832	2763	554
833	2766	550
834	2769	547
835	2772	543
836	2775	540
837	2778	537
838	2781	533
839	2784	530
840	2787	526
841	2790	523
842	2793	520
843	2796	516
844	2799	513
845	2802	510
846	2805	506
847	2808	503
848	2811	499
849	2813	496
850	2816	493
851	2819	489
852	2823	486
853	2826	483
854	2828	479
855	2831	476
856	2835	473
857	2840	470
858	2844	466
859	2847	463
860	2850	460
861	2853	456
862	2857	453
863	2860	450
864	2863	446
865	2866	443
866	2869	440
867	2873	436
868	2875	433
869	2879	430
870	2882	426
871	2887	423
872	2889	420
873	2892	417
874	2895	413
875	2898	410
876	2901	406
877	2904	403
878	2907	400
879	2910	396
880	2913	393
881	2915	390
882	2918	386
883	2921	383
884	2924	380
885	2927	376
886	2930	373
887	2933	370
888	2936	366
889	2939	363
890	2942	359
891	2945	356
892	2948	353
893	2951	349
894	2954	346
895	2957	343
896	2960	339
897	2963	336
898	2966	333
899	2969	329
900	2972	326
901	2974	323
902	2977	319
903	2981	316
904	2984	313
905	2986	309
906	2989	306
907	2992	303
908	2995	299
909	2998	296
910	3001	293
911	3004	289
912	3007	286
913	3010	283
914	3013	279
915	3016	276
916	3019	273
917	3022	269
918	3025	266
919	3028	263
920	3031	260
921	3034	256
922	3037	253
923	3040	250
924	3043	246
925	3046	243
926	3049	240
927	3052	236
928	3055	233
929	3058	230
930	3061	226
931	3064	223
932	3067	220
933	3070	216
934	3073	213
935	3076	210
936	3079	207
937	3082	203
938	3085	200
939	3088	197
940	3091	193
941	3094	190
942	3096	187
943	3099	183
944	3102	180
945	3105	177
946	3108	173
947	3111	170
948	3114	167
949	3117	164
950	3120	160
951	3123	157
952	3126	154
953	3130	150
954	3132	147
955	3135	144
956	3138	141
957	3142	137
958	3145	134
959	3147	131
960	3150	127
961	3153	124
962	3157	121
963	3159	118
964	3162	114
965	3165	111
966	3168	108
967	3171	104
968	3174	101
969	3177	98
970	3180	94
971	3183	91
972	3186	88
973	3189	85
974	3192	81
975	3195	78
976	3198	75
977	3201	72
978	3204	68
979	3207	65
980	3209	62
981	3212	58
982	3215	55
983	3219	52
984	3221	49
985	3224	45
986	3227	42
987	3230	39
988	3233	35
989	3236	32
990	3239	29
991	3242	26
992	3245	22
993	3248	19
994	3251	16
995	3254	13
996	3257	9
997	3260	6
998	3263	3
999	3266	0
